,0
0,-102631.57894736843
1,-59210.52631578948
2,-55263.15789473684
3,-67105.26315789473
4,-126315.78947368421
5,-67105.26315789473
6,-59210.52631578948
7,-82894.73684210525
8,-86842.1052631579
9,-106578.94736842107
10,-67105.26315789473
11,-114473.68421052632
12,-71052.63157894737
13,-118421.05263157896
14,-78947.36842105263
15,-94736.84210526315
16,-71052.63157894737
17,-110526.31578947368
18,-126315.78947368421
19,-71052.63157894737
20,-118421.05263157896
21,-106578.94736842107
22,-71052.63157894737
23,-75000.0
24,-106578.94736842107
25,-126315.78947368421
26,-106578.94736842107
27,-102631.57894736843
28,-122368.42105263157
29,-98684.21052631579
30,-67105.26315789473
31,-75000.0
32,-67105.26315789473
33,-51315.78947368421
34,-75000.0
35,-59210.52631578948
36,-102631.57894736843
37,-118421.05263157896
38,-110526.31578947368
39,-71052.63157894737
40,-106578.94736842107
41,-78947.36842105263
42,-114473.68421052632
43,-75000.0
44,-86842.1052631579
45,-106578.94736842107
46,-59210.52631578948
47,-47368.42105263157
48,-59210.52631578948
49,-67105.26315789473
50,-71052.63157894737
51,-106578.94736842107
52,-114473.68421052632
53,-110526.31578947368
54,-67105.26315789473
55,-126315.78947368421
56,-90789.47368421053
57,-55263.15789473684
58,-59210.52631578948
59,-55263.15789473684
60,-59210.52631578948
61,-67105.26315789473
62,-118421.05263157896
63,-106578.94736842107
64,-122368.42105263157
65,-106578.94736842107
66,-106578.94736842107
67,-106578.94736842107
68,-126315.78947368421
69,-106578.94736842107
70,-106578.94736842107
71,-106578.94736842107
72,-106578.94736842107
73,-106578.94736842107
74,-106578.94736842107
75,-67105.26315789473
76,-126315.78947368421
77,-75000.0
78,-106578.94736842107
79,-106578.94736842107
80,-106578.94736842107
81,-106578.94736842107
82,-51315.78947368421
83,-106578.94736842107
84,-75000.0
85,-106578.94736842107
86,-106578.94736842107
87,-102631.57894736843
88,-82894.73684210525
89,-106578.94736842107
90,-106578.94736842107
91,-106578.94736842107
92,-106578.94736842107
93,-106578.94736842107
94,-71052.63157894737
95,-106578.94736842107
96,-118421.05263157896
97,-110526.31578947368
98,-114473.68421052632
99,-106578.94736842107
100,-106578.94736842107
101,-106578.94736842107
102,-106578.94736842107
103,-106578.94736842107
